Year,Natural Growth Rate of GDP (%),Natural Population Growth Rate (%),Urbanization Rate (%),Proportion of Secondary Industry (%),Proportion of Tertiary Industry (%),"Number of Private Cars Owned (10,000 units)","Number of Operating Buses(10,000 units)","Number of Operating Taxis (10,000 units)",Passenger Turnover (100 million passenger-kilometers),Railway Passenger Turnover (100 million passenger-kilometers),Highway Passenger Turnover (100 million passenger-kilometers),Waterway Passenger Turnover (100 million passenger-kilometers),Civil Aviation Passenger Turnover (100 million passenger-kilometers),Freight Turnover (100 million ton-kilometers),Railway Freight Turnover (100 million ton-kilometers),Highway Freight Turnover (100 million ton-kilometers),Waterway Freight Turnover (100 million ton-kilometers),Civil Aviation Freight Turnover (100 million ton-kilometers)
2005,0.16,0.01,0.43,47,41.3,1325.44,31.09,0.13,17466.74,6061.96,9292.08,67.77,2044.93,80258.1,20726,8693.2,49672.3,78.9
2006,0.17,0.01,0.44,47.6,41.8,1756.18,31.28,0.18,19197.21,6622.12,10130.85,73.58,2370.66,88839.85,21954.41,9754.25,55485.75,94.28
2007,0.23,0.01,0.46,46.9,42.9,2253.27,34.45,0.23,21592.58,7216.31,11506.77,77.78,2791.73,101418.81,23797,11354.69,64284.85,116.39
2008,0.18,0.01,0.47,47,42.9,2813.96,36.73,0.28,23196.7,7778.6,12476.11,59.18,2882.8,110300,25106.28,32868.19,50262.7,119.6
2009,0.09,0,0.48,46,44.4,3739.65,36.52,0.37,24834.94,7878.89,13511.44,69.38,3375.24,122133.31,25239.17,37188.82,57556.67,126.23
2010,0.18,0,0.5,46.5,44.2,4919.16,37.49,0.49,27894.26,8762.18,15020.81,72.27,4039,141837.42,27644.13,43389.67,68427.53,178.9
2011,0.18,0.01,0.52,46.5,44.3,6165.14,40.26,0.62,30984.03,9612.29,16760.25,74.53,4536.96,159323.6,29465.79,51374.74,75423.84,173.91
2012,0.1,0.01,0.53,45.4,45.5,7574.19,41.94,0.76,33383.09,9812.33,18467.55,77.48,5025.74,173804.46,29187.09,59534.86,81707.58,163.89
2013,0.1,0.01,0.54,44.2,46.9,9144.34,44.66,0.91,27571.65,10595.62,11250.94,68.33,5656.76,168013.8,29173.89,55738.08,79435.65,170.29
2014,0.09,0.01,0.56,43.1,48.3,10895.58,45.9,1.09,28647.13,11241.85,10996.75,74.34,6334.19,181667.69,27530.19,56846.9,92774.56,187.77
2015,0.07,0,0.57,40.8,50.8,12700.07,48.3,1.27,30058.9,11960.6,10742.66,73.08,7282.55,178355.9,23754.31,57955.72,91772.45,208.07
2016,0.08,0.01,0.59,39.6,52.4,14866.44,51.51,1.49,31258.46,12579.29,10228.71,72.33,8378.13,186629.48,23792.26,61080.1,97338.8,222.45
2017,0.11,0.01,0.6,39.9,52.7,16974.77,55.48,1.7,32812.8,13456.92,9765.18,77.66,9513.04,197372.65,26962.2,66771.52,98611.25,243.55
2018,0.1,0,0.62,39.7,53.3,18905.42,56.59,1.89,34218.15,14146.58,9279.68,79.57,10712.32,204686.24,28820.99,71249.21,99052.82,262.5
2019,0.07,0,0.63,38.6,54.3,20687.38,58.4,2.07,35349.24,14706.64,8857.08,80.22,11705.3,199394.33,30181.95,59636.39,103963.04,263.2
2020,0.03,0,0.64,37.8,54.5,22312.34,59,2.23,19251.46,8266.19,4641.01,32.99,6311.28,201945.74,30514.46,60171.85,105834.44,240.2
2021,0.13,0,0.65,39.3,53.5,24054.3,70.94,2.41,19758.15,9567.81,3627.54,33.11,6529.68,223600.38,33238,69087.65,115577.51,278.16
2022,0.05,0,0.65,39.3,53.4,25644.08,70.32,2.56,12921.54,6577.53,2407.54,22.6,3913.87,231782.7,35945.69,68958.04,121003.14,254.1
