Year,"Total Coal Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Coke Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Crude Oil Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Gasoline Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Kerosene Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Diesel Oil Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Fuel Oil Consumption of Transport, Storage and Postal Services(10,000 tons)","Total Natural Gas Consumption of Transport, Storage and Postal Services(100 million m3)","Total Electricity Consumption of Transport, Storage and Postal Services(100 million kWh)","Total Gasoline Consumption of Residential Consumption(10,000 tons)","Total Population(10,000 persons)",Per Capita GDP (yuan),Proportion of Secondary Industry (%),Proportion of Tertiary Industry (%),Urbanization Rate (%),Freight Turnover (100 million ton-kilometers),Passenger Turnover (100 million passenger-kilometers),Proportion of Railway Transport (%),Proportion of Highway Transport (%),Proportion of Civil Aviation Transport (%),"Number of Private Vehicles Owned (10,000 units)",Energy Structure (%),"Energy Intensity (ton of standard coal / 10,000 yuan)",Energy Efficiency of Transport Equipment (L/100km)
1995,1315.10 ,10.10 ,156.77 ,982.30 ,250.01 ,1246.56 ,227.45 ,1.57 ,182.30 ,63.70 ,121121,5091,46.8,33.7,29.04 ,35908.9 ,9001.9 ,42.09 ,13.07 ,0.18 ,249.96,92.1,1.16,9.5
1996,1175.94 ,6.64 ,159.00 ,991.32 ,298.86 ,1261.06 ,224.46 ,4.01 ,197.88 ,86.42 ,122389,5898,47.1,33.6,30.48 ,36589.8 ,9164.8 ,41.19 ,13.77 ,0.20 ,289.67,92.2,1.09,9.44
1997,1431.19 ,6.47 ,164.69 ,1183.16 ,420.10 ,1379.53 ,582.23 ,3.70 ,255.88 ,94.22 ,123626,6481,47.1,35,31.91 ,38384.7 ,10055.5 ,40.08 ,13.85 ,0.20 ,358.36,91.8,1,9.39
1998,1390.60 ,10.30 ,168.85 ,1216.61 ,390.48 ,1901.93 ,565.56 ,3.68 ,255.63 ,107.07 ,124761,6860,45.8,37,33.35 ,38088.7 ,10636.7 ,38.94 ,14.49 ,0.22 ,423.65,91.7,0.93,9.33
1999,1294.26 ,10.14 ,169.49 ,1265.52 ,505.62 ,2221.65 ,840.00 ,4.80 ,254.78 ,121.13 ,125786,7229,45.4,38.6,34.78 ,40567.8 ,11299.7 ,38.06 ,14.16 ,0.23 ,533.88,92.1,0.89,9.28
2000,1139.94 ,11.24 ,175.02 ,1387.79 ,536.40 ,2543.81 ,850.00 ,5.81 ,281.20 ,127.58 ,126743,7942,45.5,39.8,36.22 ,44320.5 ,12261.1 ,37.36 ,13.87 ,0.25 ,625.33,90.5,0.86,9.22
2001,1050.88 ,11.68 ,169.81 ,1419.37 ,560.69 ,2671.01 ,855.00 ,5.96 ,309.32 ,134.60 ,127627,8717,44.8,41.2,37.66 ,47709.9 ,13155.1 ,36.96 ,13.39 ,0.23 ,770.78,89.2,0.84,9.17
2002,1054.95 ,11.44 ,177.94 ,1503.00 ,616.74 ,2964.80 ,872.10 ,6.37 ,338.00 ,163.80 ,128453,9506,44.5,42.2,39.09 ,50685.9 ,14125.6 ,36.92 ,13.54 ,0.26 ,968.98,89.5,0.84,9.11
2003,1067.33 ,10.79 ,148.31 ,1861.64 ,621.68 ,3485.20 ,940.29 ,6.82 ,396.94 ,198.75 ,129227,10666,45.6,42,40.53 ,53859.2 ,13810.5 ,37.48 ,13.39 ,0.25 ,1219.23,90.3,0.88,8.82
2004,832.12 ,1.79 ,123.82 ,2308.46 ,819.71 ,4182.24 ,1150.44 ,11.16 ,449.65 ,286.54 ,129988,12487,45.9,41.2,41.76 ,69445.0 ,16309.1 ,33.17 ,11.56 ,0.27 ,1481.66,90.1,0.94,8.54
